date,company,price
2015-01-04,BAJFINANCE,41.0
2015-01-04,JSWSTEEL,90.55
2015-01-04,KOTAKBANK,136.2
2015-01-04,NIFTY 50,8590.3
2015-01-04,NIFTY BANK,18633.75
2015-01-04,ONGC,185.25
2015-01-04,TATAPOWER,77.8
2015-01-04,TATASTEEL,28.0
2015-01-04,TITAN,390.25
2015-01-04,WIPRO,113.55
2015-01-06,BAJFINANCE,44.0
2015-01-06,JSWSTEEL,91.0
2015-01-06,KOTAKBANK,139.1
2015-01-06,NIFTY 50,8422.55
2015-01-06,NIFTY BANK,18611.65
2015-01-06,ONGC,195.2
2015-01-06,TATAPOWER,75.9
2015-01-06,TATASTEEL,28.68
2015-01-06,TITAN,376.0
2015-01-06,WIPRO,100.9
2015-01-07,BAJFINANCE,55.0
2015-01-07,JSWSTEEL,89.12
2015-01-07,KOTAKBANK,142.1
2015-01-07,NIFTY 50,8462.5
2015-01-07,NIFTY BANK,18606.7
2015-01-07,ONGC,189.05
2015-01-07,TATAPOWER,75.05
2015-01-07,TATASTEEL,26.48
2015-01-07,TITAN,361.6
2015-01-07,WIPRO,99.7
2015-01-09,BAJFINANCE,50.0
2015-01-09,JSWSTEEL,89.8
2015-01-09,KOTAKBANK,122.7
2015-01-09,NIFTY 50,7781.4
2015-01-09,NIFTY BANK,16521.35
2015-01-09,ONGC,140.95
2015-01-09,TATAPOWER,60.55
2015-01-09,TATASTEEL,17.64
2015-01-09,TITAN,335.8
2015-01-09,WIPRO,101.35
2015-01-10,BAJFINANCE,51.0
2015-01-10,JSWSTEEL,87.39
2015-01-10,KOTAKBANK,128.4
2015-01-10,NIFTY 50,7947.1
2015-01-10,NIFTY BANK,17147.15
2015-01-10,ONGC,139.85
2015-01-10,TATAPOWER,66.0
2015-01-10,TATASTEEL,17.25
2015-01-10,TITAN,327.5
2015-01-10,WIPRO,107.6
2015-01-12,BAJFINANCE,56.0
2015-01-12,JSWSTEEL,94.72
2015-01-12,KOTAKBANK,138.2
2015-01-12,NIFTY 50,7955.15
2015-01-12,NIFTY BANK,17395.55
2015-01-12,ONGC,141.65
2015-01-12,TATAPOWER,66.4
2015-01-12,TATASTEEL,19.79
2015-01-12,TITAN,378.65
2015-01-12,WIPRO,104.6
2015-02-02,AXISBANK,620.9
2015-02-02,BAJFINANCE,41.5
2015-02-02,JSWSTEEL,99.89
2015-02-02,KOTAKBANK,135.5
2015-02-02,NIFTY 50,8798.15
2015-02-02,NIFTY BANK,19902.9
2015-02-02,ONGC,210.25
2015-02-02,TATAPOWER,90.85
2015-02-02,TATASTEEL,34.01
2015-02-02,TCS,1258.0
2015-02-02,TITAN,433.35
2015-02-02,WIPRO,112.45
2015-02-03,AXISBANK,584.7
2015-02-03,BAJFINANCE,43.5
2015-02-03,JSWSTEEL,100.47
2015-02-03,KOTAKBANK,140.6
2015-02-03,NIFTY 50,8961.55
2015-02-03,NIFTY BANK,20010.55
2015-02-03,ONGC,193.05
2015-02-03,TATAPOWER,86.25
2015-02-03,TATASTEEL,30.93
2015-02-03,TCS,1276.13
2015-02-03,TITAN,411.45
2015-02-03,WIPRO,119.15
2015-02-04,AXISBANK,561.0
2015-02-04,TCS,1257.48
2015-02-05,AXISBANK,568.0
2015-02-05,TCS,1276.5
2015-02-06,AXISBANK,565.0
